,year,quarter,month,latitude,longitude,depth,magnitude,dayPeriod,earthquakeCategory,depthCategory,cluster
172,2015,2,5,-8.806938171,110.8877716,15.0,3.790630023,Evening,Minor,Shallow,19
176,2015,2,6,-6.282092094,111.2180939,26.0,3.850599089,Afternoon,Minor,Shallow,-1
177,2015,2,6,-8.104007721,107.0658493,15.0,3.674755724,Evening,Minor,Shallow,14
178,2015,2,6,-8.189517021,107.9592285,21.0,3.879286632,Dawn,Minor,Shallow,2
179,2015,2,6,-7.991036415,106.6499634,68.0,3.860144948,Afternoon,Minor,Shallow,6
181,2015,2,6,-7.58569622,106.5180435,27.0,4.109748487,Morning,Light,Shallow,6
183,2015,2,6,-8.5063591,107.2914276,10.0,4.296678387,Evening,Light,Shallow,-1
184,2015,2,6,-8.448558807,109.2452774,10.0,3.886535992,Morning,Minor,Shallow,15
185,2015,2,6,-8.215315819,107.3806686,10.0,4.354076177,Dawn,Light,Shallow,7
186,2015,2,6,-8.911349297,108.5154953,10.0,3.705855613,Afternoon,Minor,Shallow,-1
188,2015,2,6,-8.785932541,110.5439301,20.0,3.830072664,Evening,Minor,Shallow,-1
190,2015,2,6,-7.613978386,106.6908188,24.0,3.75264768,Evening,Minor,Shallow,6
193,2015,2,6,-7.315886021,105.1159439,25.0,4.674220426,Afternoon,Light,Shallow,-1
194,2015,2,6,-8.246182442,107.6142807,10.0,4.139515964,Afternoon,Light,Shallow,18
198,2015,2,6,-8.254318237,108.2283173,12.0,4.695578853,Evening,Light,Shallow,17
202,2015,2,6,-8.985844612,111.234375,10.0,4.076307994,Evening,Light,Shallow,16
203,2015,2,6,-8.914541245,111.1943054,16.0,4.095581897,Evening,Light,Shallow,16
207,2015,3,7,-8.322012901,107.382019,17.0,4.721318765,Dawn,Light,Shallow,7
208,2015,3,7,-6.846073151,107.9973526,10.0,3.581266351,Night,Minor,Shallow,-1
212,2015,3,7,-8.975541115,112.4569397,29.0,4.244168419,Evening,Light,Shallow,8
217,2015,3,7,-8.246015549,107.8537598,16.0,3.651607141,Evening,Minor,Shallow,2
219,2015,3,7,-8.170951843,107.9378433,14.0,4.152740061,Evening,Light,Shallow,2
222,2015,3,7,-8.926724434,112.4126511,37.0,3.829731889,Afternoon,Minor,Shallow,8
224,2015,3,7,-7.693991661,107.3631134,29.0,3.575423233,Night,Minor,Shallow,-1
227,2015,3,7,-8.443491936,109.2687225,31.0,3.59728216,Afternoon,Minor,Shallow,15
228,2015,3,8,-8.897553444,110.9007111,14.0,4.694069277,Evening,Light,Shallow,19
229,2015,3,8,-7.737484455,110.6858215,22.0,3.778510623,Evening,Minor,Shallow,-1
231,2015,3,8,-8.228230476,107.2073822,24.0,4.700867513,Dawn,Light,Shallow,7
234,2015,3,8,-8.588745117,108.8813171,36.0,4.642019939,Afternoon,Light,Shallow,13
239,2015,3,8,-8.798821449,112.4951935,49.0,3.887839072,Afternoon,Minor,Shallow,8
240,2015,3,8,-8.860304832,110.2171326,10.0,3.637341618,Afternoon,Minor,Shallow,11
245,2015,3,8,-8.734259605,110.0016937,10.0,4.295610254,Morning,Light,Shallow,-1
251,2015,3,8,-7.643602848,111.7858963,10.0,3.573460227,Night,Minor,Shallow,-1
254,2015,3,8,-8.17279911,107.8776398,18.0,4.397396278,Evening,Light,Shallow,2
255,2015,3,8,-8.255628586,107.8151016,10.0,4.046552755,Afternoon,Light,Shallow,2
258,2015,3,8,-8.277317047,107.3517151,10.0,4.412905694,Evening,Light,Shallow,7
264,2015,3,9,-8.423677444,109.2347641,10.0,3.64723818,Morning,Minor,Shallow,15
265,2015,3,9,-7.744223595,106.4005508,49.0,4.846524138,Morning,Light,Shallow,6
266,2015,3,9,-8.401560783,107.8914795,17.0,3.901267056,Morning,Minor,Shallow,2
268,2015,3,9,-8.223365784,107.3390808,49.0,5.369762749,Evening,Moderate,Shallow,7
269,2015,3,9,-8.593611717,109.7370834,10.0,3.769717635,Evening,Minor,Shallow,29
271,2015,3,9,-8.47793293,112.7135544,10.0,4.239609038,Night,Light,Shallow,-1
274,2015,3,9,-8.176465988,107.3240585,10.0,4.770639136,Dawn,Light,Shallow,7
276,2015,3,9,-8.19493103,107.3982773,10.0,3.543302647,Afternoon,Minor,Shallow,7
277,2015,3,9,-8.849349022,112.5027847,42.0,4.992450844,Afternoon,Light,Shallow,8
281,2015,3,9,-8.901738167,109.7324142,10.0,3.513776396,Night,Minor,Shallow,-1
291,2015,3,9,-8.966590881,110.4136963,15.0,3.544161553,Evening,Minor,Shallow,24
294,2015,3,9,-8.547288895,108.9483261,61.0,3.830958239,Morning,Minor,Shallow,13
303,2015,3,9,-8.002797127,110.5011597,10.0,4.584077471,Afternoon,Light,Shallow,-1
304,2015,3,9,-8.02648735,107.3967133,27.0,3.891551752,Afternoon,Minor,Shallow,7
307,2015,3,9,-8.447921753,107.3678589,43.0,4.712790228,Afternoon,Light,Shallow,-1
308,2015,3,9,-8.249804497,107.363533,10.0,4.030449246,Afternoon,Light,Shallow,7
309,2015,3,9,-7.3527174,106.0739059,20.0,3.897806296,Dawn,Minor,Shallow,3
315,2015,4,10,-8.256173134,107.9012299,39.0,3.917531657,Morning,Minor,Shallow,2
