year,quarter,month,latitude,longitude,magnitude,depth,dayPeriod,earthquakeCategory,depthCategory,cluster1_4
2014,4,12,-7.993020535,107.8060837,3.89352828,53.0,Morning,Minor,Shallow,0
2014,4,12,-8.075361252,113.7208862,2.523227559,10.0,Morning,Micro,Shallow,1
2014,4,12,-8.052990913,113.729248,2.302018082,10.0,Morning,Micro,Shallow,1
2014,4,12,-8.933462143,110.2240906,4.157473781,19.0,Night,Light,Shallow,0
2014,4,12,-7.864310741,111.3020935,3.265446879,22.0,Night,Minor,Shallow,1
2014,4,12,-8.11772728,107.2877426,3.728893378,14.0,Night,Minor,Shallow,0
2014,4,12,-8.288931847,107.7275925,3.468976675,10.0,Afternoon,Minor,Shallow,0
2014,4,12,-7.908602238,112.9874039,3.017627149,10.0,Morning,Minor,Shallow,1
2014,4,12,-8.047159195,107.0347748,3.360975528,10.0,Morning,Minor,Shallow,0
2014,4,12,-7.578986645,107.0489578,5.017198859,78.0,Afternoon,Moderate,Intermediate,0
2015,1,1,-7.861435413,106.4990921,3.835609252,10.0,Dawn,Minor,Shallow,0
2015,1,1,-8.473874092,111.9203491,3.619734277,77.0,Morning,Minor,Intermediate,0
2015,1,1,-8.875227928,110.3931198,3.449415803,53.0,Evening,Minor,Shallow,0
2015,1,1,-7.418150902,106.675499,3.45537402,18.0,Dawn,Minor,Shallow,0
2015,1,1,-7.595385551,106.6878128,3.904992877,11.0,Evening,Minor,Shallow,0
2015,1,1,-8.222784042,108.0554276,3.915679689,30.0,Afternoon,Minor,Shallow,0
2015,1,1,-7.869232655,107.2875824,3.539928526,25.0,Morning,Minor,Shallow,0
2015,1,1,-8.938436508,109.9152679,4.004116778,10.0,Night,Light,Shallow,0
2015,1,1,-7.520521164,106.3112793,4.59823922,50.0,Evening,Light,Shallow,0
2015,1,1,-8.443558693,108.917305,4.873730297,43.0,Night,Light,Shallow,0
2015,1,1,-6.946743965,106.3830566,3.085330694,19.0,Morning,Minor,Shallow,1
2015,1,1,-7.212831497,112.2962494,3.963958252,10.0,Morning,Minor,Shallow,0
2015,1,1,-7.77604723,106.8699493,4.736883514,18.0,Afternoon,Light,Shallow,0
2015,1,1,-7.842869759,106.8708496,3.442490344,10.0,Evening,Minor,Shallow,0
2015,1,2,-6.337854862,113.0091248,4.732708352,591.0,Afternoon,Light,Deep,3
2015,1,2,-8.190802574,113.8805771,2.491631585,12.0,Morning,Micro,Shallow,1
2015,1,2,-8.160943985,113.8203125,2.469444743,10.0,Morning,Micro,Shallow,1
2015,1,2,-8.200518608,113.9420242,2.290481119,11.0,Evening,Micro,Shallow,1
2015,1,2,-6.867091179,106.6902084,3.325815203,10.0,Night,Minor,Shallow,1
2015,1,2,-7.783557892,108.8039093,3.780338031,108.0,Night,Minor,Intermediate,2
2015,1,2,-8.146392822,113.9648895,2.181342068,18.0,Dawn,Micro,Shallow,1
2015,1,2,-8.189148903,113.9644394,2.348566352,10.0,Dawn,Micro,Shallow,1
2015,1,2,-8.114447594,113.9902725,2.236496189,10.0,Morning,Micro,Shallow,1
2015,1,2,-6.686313152,106.5120392,2.821726246,10.0,Morning,Micro,Shallow,1
2015,1,2,-7.194305897,105.380867,4.279995495,10.0,Dawn,Light,Shallow,0
2015,1,2,-7.391421795,107.8327484,4.59508793,150.0,Morning,Light,Intermediate,2
2015,1,2,-6.852005482,107.8880234,3.410062803,13.0,Dawn,Minor,Shallow,0
2015,1,2,-8.208862305,113.9176788,2.424026388,11.0,Morning,Micro,Shallow,1
2015,1,2,-8.928726196,111.1410904,3.903168537,70.0,Afternoon,Minor,Shallow,0
2015,1,2,-8.361907005,109.2002411,4.377804553,35.0,Evening,Light,Shallow,0
2015,1,2,-8.184550285,107.4383926,4.164701848,10.0,Afternoon,Light,Shallow,0
2015,1,2,-8.201664925,107.2761459,4.103296724,12.0,Morning,Light,Shallow,0
2015,1,2,-8.443415642,108.9878922,3.60583818,17.0,Morning,Minor,Shallow,0
2015,1,2,-7.919701099,107.0254822,3.529966917,10.0,Morning,Minor,Shallow,0
2015,1,2,-7.538618565,113.0613403,4.455640573,16.0,Afternoon,Light,Shallow,0
2015,1,3,-7.49687767,109.6353683,2.66259129,10.0,Afternoon,Micro,Shallow,1
2015,1,3,-8.949979782,111.2281113,4.76419049,10.0,Evening,Light,Shallow,0
2015,1,3,-7.619208813,106.9117432,2.801464431,28.0,Evening,Micro,Shallow,1
2015,1,3,-7.025591373,105.4354782,4.197799161,16.0,Evening,Light,Shallow,0
2015,1,3,-8.643356323,109.1410675,3.811242007,51.0,Night,Minor,Shallow,0
2015,1,3,-6.286139488,107.9495163,4.220934932,296.0,Night,Light,Intermediate,2
2015,1,3,-8.670337677,112.5569839,4.780742734,133.0,Evening,Light,Intermediate,2
2015,1,3,-6.604495525,107.4376831,3.150048031,48.0,Morning,Minor,Shallow,1
2015,1,3,-6.963722706,106.2639465,4.010594102,117.0,Afternoon,Light,Intermediate,2
2015,1,3,-7.032893658,106.9257126,2.693840305,10.0,Afternoon,Micro,Shallow,1
2015,1,3,-7.412759781,106.7943726,2.946180025,15.0,Afternoon,Micro,Shallow,1
2015,1,3,-8.139584541,113.9171295,2.329326403,10.0,Morning,Micro,Shallow,1
2015,1,3,-8.183819771,113.8834457,2.240673706,10.0,Morning,Micro,Shallow,1
2015,1,3,-7.910694122,106.5440903,3.336875805,10.0,Evening,Minor,Shallow,1
2015,1,3,-7.105088234,106.229866,3.784105453,99.0,Morning,Minor,Intermediate,2
2015,1,3,-8.477085114,108.8972397,3.940937641,10.0,Morning,Minor,Shallow,0
2015,1,3,-8.462662697,108.8598099,4.213164665,10.0,Afternoon,Light,Shallow,0
2015,1,3,-7.374401569,107.829071,2.825024005,64.0,Evening,Micro,Shallow,1
2015,1,3,-8.14523983,113.9274216,2.220669123,12.0,Dawn,Micro,Shallow,1
2015,1,3,-6.921978474,109.0514832,4.83752439,10.0,Evening,Light,Shallow,0
2015,1,3,-8.598883629,109.5605392,4.264278751,73.0,Afternoon,Light,Intermediate,0
2015,1,3,-7.591256142,106.7815552,2.979353907,10.0,Evening,Micro,Shallow,1
2015,1,3,-7.807667255,110.3262329,2.507699292,10.0,Dawn,Micro,Shallow,1
2015,1,3,-8.086642265,113.9103241,2.234465686,10.0,Afternoon,Micro,Shallow,1
2015,1,3,-7.985831261,106.9197998,4.373226308,10.0,Afternoon,Light,Shallow,0
2015,1,3,-7.095377922,107.6553116,3.303456444,10.0,Morning,Minor,Shallow,1
2015,1,3,-8.452349663,108.9158783,3.440469043,20.0,Afternoon,Minor,Shallow,0
2015,1,3,-8.06193924,109.2668991,2.798087306,22.0,Afternoon,Micro,Shallow,1
2015,2,4,-8.686862946,109.3037262,3.757161161,126.0,Afternoon,Minor,Intermediate,2
2015,2,4,-8.179347038,113.9826889,2.044221894,24.0,Night,Micro,Shallow,1
2015,2,4,-8.439977646,112.0759964,3.034600296,164.0,Afternoon,Minor,Intermediate,2
2015,2,4,-7.05563736,105.114212,4.84075199,53.0,Evening,Light,Shallow,0
2015,2,4,-8.279860497,113.9520645,2.18813592,13.0,Evening,Micro,Shallow,1
2015,2,4,-8.179531097,113.9904709,2.445591045,10.0,Evening,Micro,Shallow,1
2015,2,4,-7.11593914,105.2188568,4.19077119,16.0,Morning,Light,Shallow,0
2015,2,4,-7.325556755,105.9015503,3.776291015,10.0,Afternoon,Minor,Shallow,0
2015,2,4,-8.121022224,113.8824158,2.543462472,10.0,Evening,Micro,Shallow,1
2015,2,4,-8.304533005,108.2330704,3.968421544,10.0,Evening,Minor,Shallow,0
2015,2,4,-7.937761307,106.6167068,3.518795937,34.0,Afternoon,Minor,Shallow,0
2015,2,4,-7.977192879,113.6747742,2.37894056,18.0,Night,Micro,Shallow,1
2015,2,4,-8.216500282,113.9546814,2.336982336,19.0,Evening,Micro,Shallow,1
2015,2,4,-8.447500229,109.2647629,3.852379309,29.0,Evening,Minor,Shallow,0
2015,2,4,-7.444552422,109.0076599,3.137150067,10.0,Afternoon,Minor,Shallow,1
2015,2,5,-7.043694973,109.1926956,3.31915127,273.0,Evening,Minor,Intermediate,2
2015,2,5,-6.927571297,106.6777802,3.099307513,10.0,Afternoon,Minor,Shallow,1
2015,2,5,-8.827442169,110.3326263,4.195433424,19.0,Night,Light,Shallow,0
2015,2,5,-7.550934315,106.5462418,3.537516997,79.0,Night,Minor,Intermediate,2
2015,2,5,-8.413401604,109.2483368,3.979142571,10.0,Afternoon,Minor,Shallow,0
2015,2,5,-8.395197868,110.2744522,4.540624204,76.0,Morning,Light,Intermediate,0
2015,2,5,-7.68360424,107.5428772,3.125112499,10.0,Morning,Minor,Shallow,1
2015,2,5,-8.005828857,107.026474,3.155069845,13.0,Evening,Minor,Shallow,1
2015,2,5,-7.99461174,108.8246384,3.245345123,90.0,Afternoon,Minor,Intermediate,2
2015,2,5,-7.470198154,111.8188934,2.835400716,10.0,Evening,Micro,Shallow,1
2015,2,5,-6.073328018,111.208313,4.027378179,17.0,Evening,Light,Shallow,0
2015,2,5,-8.190962791,107.2661743,3.853007775,10.0,Night,Minor,Shallow,0
2015,2,5,-7.256668091,107.6669998,3.304037469,10.0,Night,Minor,Shallow,1
2015,2,5,-8.072591782,110.4979706,3.685242198,10.0,Morning,Minor,Shallow,0
2015,2,5,-7.090734482,106.6328735,3.70484075,94.0,Morning,Minor,Intermediate,2
2015,2,5,-8.806938171,110.8877716,3.790630023,15.0,Evening,Minor,Shallow,0
2015,2,5,-8.009755135,110.525383,3.058149801,10.0,Evening,Minor,Shallow,1
2015,2,6,-7.344315052,110.4643326,3.808764211,237.0,Evening,Minor,Intermediate,2
2015,2,6,-8.14542675,111.3880463,4.117539581,131.0,Evening,Light,Intermediate,2
2015,2,6,-6.282092094,111.2180939,3.850599089,26.0,Afternoon,Minor,Shallow,0
2015,2,6,-8.104007721,107.0658493,3.674755724,15.0,Evening,Minor,Shallow,0
2015,2,6,-8.189517021,107.9592285,3.879286632,21.0,Dawn,Minor,Shallow,0
2015,2,6,-7.991036415,106.6499634,3.860144948,68.0,Afternoon,Minor,Shallow,0
2015,2,6,-7.255092621,109.0514374,3.508447193,209.0,Afternoon,Minor,Intermediate,2
2015,2,6,-7.58569622,106.5180435,4.109748487,27.0,Morning,Light,Shallow,0
2015,2,6,-8.107726097,113.9525299,2.488325373,11.0,Afternoon,Micro,Shallow,1
2015,2,6,-8.5063591,107.2914276,4.296678387,10.0,Evening,Light,Shallow,0
2015,2,6,-8.448558807,109.2452774,3.886535992,10.0,Morning,Minor,Shallow,0
2015,2,6,-8.215315819,107.3806686,4.354076177,10.0,Dawn,Light,Shallow,0
2015,2,6,-8.911349297,108.5154953,3.705855613,10.0,Afternoon,Minor,Shallow,0
2015,2,6,-8.439750671,108.7237778,3.638759491,78.0,Night,Minor,Intermediate,0
2015,2,6,-8.785932541,110.5439301,3.830072664,20.0,Evening,Minor,Shallow,0
2015,2,6,-7.612822056,107.2205658,3.110838849,10.0,Morning,Minor,Shallow,1
2015,2,6,-7.613978386,106.6908188,3.75264768,24.0,Evening,Minor,Shallow,0
2015,2,6,-7.751314163,105.8553619,3.315609722,35.0,Dawn,Minor,Shallow,1
2015,2,6,-7.237055302,106.6312943,3.053178482,87.0,Dawn,Minor,Intermediate,1
2015,2,6,-7.315886021,105.1159439,4.674220426,25.0,Afternoon,Light,Shallow,0
2015,2,6,-8.246182442,107.6142807,4.139515964,10.0,Afternoon,Light,Shallow,0
2015,2,6,-8.74889946,111.4625702,2.472805296,29.0,Afternoon,Micro,Shallow,1
2015,2,6,-8.217315674,107.1562805,3.07707287,10.0,Dawn,Minor,Shallow,1
2015,2,6,-8.255594254,107.1417999,2.840363976,15.0,Dawn,Micro,Shallow,1
2015,2,6,-8.254318237,108.2283173,4.695578853,12.0,Evening,Light,Shallow,0
2015,2,6,-7.646216393,111.7278595,3.1076969329,10.0,Dawn,Great,Shallow,1
2015,2,6,-8.582368851,108.9817963,3.475240472,10.0,Dawn,Minor,Shallow,0
2015,2,6,-7.812180996,107.3049088,3.003374004,21.0,Dawn,Minor,Shallow,1
2015,2,6,-8.985844612,111.234375,4.076307994,10.0,Evening,Light,Shallow,0
2015,2,6,-8.914541245,111.1943054,4.095581897,16.0,Evening,Light,Shallow,0
2015,2,6,-6.794238091,106.4518127,2.710950853,27.0,Evening,Micro,Shallow,1
2015,2,6,-6.788421154,108.4118271,3.155411139,10.0,Evening,Minor,Shallow,1
2015,3,7,-7.233581543,107.3485565,2.808745144,10.0,Evening,Micro,Shallow,1
2015,3,7,-8.322012901,107.382019,4.721318765,17.0,Dawn,Light,Shallow,0
2015,3,7,-6.846073151,107.9973526,3.581266351,10.0,Night,Minor,Shallow,0
2015,3,7,-8.524217606,113.9540405,4.636455811,166.0,Morning,Light,Intermediate,2
2015,3,7,-8.705310822,108.9686584,3.299144673,77.0,Evening,Minor,Intermediate,2
2015,3,7,-7.848014355,106.8730316,3.087600363,11.0,Morning,Minor,Shallow,1
2015,3,7,-8.975541115,112.4569397,4.244168419,29.0,Evening,Light,Shallow,0
2015,3,7,-7.808035374,106.8879852,2.817561169,23.0,Evening,Micro,Shallow,1
2015,3,7,-8.765389442,110.0491638,3.449008631,23.0,Night,Minor,Shallow,0
2015,3,7,-7.493237019,106.3153763,3.325713933,14.0,Afternoon,Minor,Shallow,1
2015,3,7,-7.778263092,108.0511856,3.352692121,89.0,Evening,Minor,Intermediate,2
2015,3,7,-8.246015549,107.8537598,3.651607141,16.0,Evening,Minor,Shallow,0
2015,3,7,-8.540915489,109.7835922,2.940934484,11.0,Evening,Micro,Shallow,1
2015,3,7,-8.170951843,107.9378433,4.152740061,14.0,Evening,Light,Shallow,0
2015,3,7,-8.21466732,109.0011292,3.3013660504999995,85.0,Evening,Great,Intermediate,2
2015,3,7,-8.768526077,109.9427032,3.090985102,11.0,Evening,Minor,Shallow,1
2015,3,7,-8.926724434,112.4126511,3.829731889,37.0,Afternoon,Minor,Shallow,0
2015,3,7,-8.211294174,107.095108,3.158172628,10.0,Evening,Minor,Shallow,1
2015,3,7,-7.693991661,107.3631134,3.575423233,29.0,Night,Minor,Shallow,0
2015,3,7,-8.139395714,113.9267273,2.551413776,10.0,Evening,Micro,Shallow,1
2015,3,7,-7.330509186,105.7465515,3.405536251,10.0,Afternoon,Minor,Shallow,0
2015,3,7,-8.443491936,109.2687225,3.59728216,31.0,Afternoon,Minor,Shallow,0
2015,3,8,-8.897553444,110.9007111,4.694069277,14.0,Evening,Light,Shallow,0
2015,3,8,-7.737484455,110.6858215,3.778510623,22.0,Evening,Minor,Shallow,0
2015,3,8,-8.479881287,110.769043,2.957345865,11.0,Evening,Micro,Shallow,1
2015,3,8,-8.228230476,107.2073822,4.700867513,24.0,Dawn,Light,Shallow,0
2015,3,8,-8.481114388,111.1421432,3.401416525,60.0,Night,Minor,Shallow,0
2015,3,8,-7.215166569,108.2707977,2.394091306,10.0,Night,Micro,Shallow,1
2015,3,8,-8.588745117,108.8813171,4.642019939,36.0,Afternoon,Light,Shallow,0
2015,3,8,-8.199050903,107.8302307,3.391257414,10.0,Morning,Minor,Shallow,0
2015,3,8,-6.757233143,107.7714844,3.194677931,10.0,Evening,Minor,Shallow,1
2015,3,8,-6.762644291,107.7621384,3.44133061,10.0,Night,Minor,Shallow,0
2015,3,8,-8.977157593,110.0152206,2.944535301,14.0,Morning,Micro,Shallow,1
2015,3,8,-8.798821449,112.4951935,3.887839072,49.0,Afternoon,Minor,Shallow,0
2015,3,8,-8.860304832,110.2171326,3.637341618,10.0,Afternoon,Minor,Shallow,0
2015,3,8,-8.283639908,111.6825256,2.994103176,19.0,Morning,Micro,Shallow,1
2015,3,8,-8.402950287,113.9321136,2.857074744,10.0,Afternoon,Micro,Shallow,1
2015,3,8,-6.909063816,108.298996,3.280555728,10.0,Morning,Minor,Shallow,1
2015,3,8,-8.774476051,111.778595,3.486430567,89.0,Evening,Minor,Intermediate,2
2015,3,8,-8.734259605,110.0016937,4.295610254,10.0,Morning,Light,Shallow,0
2015,3,8,-7.621058941,111.8776016,2.350923637,10.0,Evening,Micro,Shallow,1
2015,3,8,-7.627797127,111.8920822,2.809951643,10.0,Dawn,Micro,Shallow,1
2015,3,8,-7.765570641,111.7524643,2.637497006,11.0,Dawn,Micro,Shallow,1
2015,3,8,-8.703373909,112.178894,3.237794527,94.0,Afternoon,Minor,Intermediate,2
2015,3,8,-8.284108162,111.7907486,2.98927604,111.0,Evening,Micro,Intermediate,2
2015,3,8,-7.643602848,111.7858963,3.573460227,10.0,Night,Minor,Shallow,0
2015,3,8,-7.740005493,111.7332687,2.848844787,10.0,Night,Micro,Shallow,1
2015,3,8,-7.756830692,111.742836,2.835030367,10.0,Morning,Micro,Shallow,1
2015,3,8,-8.17279911,107.8776398,4.397396278,18.0,Evening,Light,Shallow,0
2015,3,8,-8.255628586,107.8151016,4.046552755,10.0,Afternoon,Light,Shallow,0
2015,3,8,-8.430047035,111.9274445,4.367129701,95.0,Evening,Light,Intermediate,0
2015,3,8,-8.410853386,109.0177841,3.337531924,10.0,Evening,Minor,Shallow,1
2015,3,8,-8.277317047,107.3517151,4.412905694,10.0,Evening,Light,Shallow,0
2015,3,8,-7.796466827,106.1682358,3.209630436,10.0,Evening,Minor,Shallow,1
2015,3,8,-7.207774162,108.9394684,2.891168999,37.0,Morning,Micro,Shallow,1
2015,3,8,-7.260896206,105.323288,3.451704551,78.0,Morning,Minor,Intermediate,2
2015,3,8,-7.739906311,106.5729065,3.105365076,10.0,Afternoon,Minor,Shallow,1
2015,3,9,-5.964696407,106.007431,3.818682062,172.0,Afternoon,Minor,Intermediate,2
2015,3,9,-8.423677444,109.2347641,3.64723818,10.0,Morning,Minor,Shallow,0
